"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.035049,0.006275,0.028947,-0.0003148,0.0085897,-0.00074286,0,0,0.05293,-0.023152,0,-0.0038629,0,0,0,0.028966,-0.00033365,0.0085897,-1.4533,0.012407,0.026013,5.5846e-07,0.72,0.12,0
0.037173,0.0062163,0.029103,-0.00032208,0.0086343,-0.00056896,0,0,0.053219,-0.023287,0,-0.0029586,0,0,0,0.029114,-0.00033307,0.0086343,-1.1073,0.012472,0.026144,5.6702e-07,0.76,0.12,0
0.039306,0.0061721,0.029212,-0.00029016,0.0086764,-0.00040315,0,0,0.053392,-0.023313,0,-0.0020964,0,0,0,0.029217,-0.00029567,0.0086764,-0.78277,0.012533,0.026205,5.7227e-07,0.8,0.12,0
0.041444,0.0061425,0.02928,-0.00023293,0.0087142,-0.000262,0,0,0.053472,-0.023262,0,-0.0013624,0,0,0,0.029283,-0.00023525,0.0087142,-0.50859,0.012587,0.026215,5.7487e-07,0.84,0.12,0
0.043584,0.0061253,0.029319,-0.00016651,0.0087457,-0.00015412,0,0,0.05349,-0.023172,0,-0.0008014,0,0,0,0.02932,-0.00016731,0.0087457,-0.29947,0.012633,0.026194,5.7565e-07,0.88,0.12,0
0.045723,0.0061168,0.029338,-0.00010632,0.0087694,-7.9892e-05,0,0,0.053477,-0.023077,0,-0.00041544,0,0,0,0.029338,-0.00010653,0.0087694,-0.15546,0.012667,0.026161,5.7546e-07,0.92,0.12,0
0.047862,0.0061135,0.029345,-6.4823e-05,0.008784,-3.2538e-05,0,0,0.053458,-0.023007,0,-0.00016919,0,0,0,0.029345,-6.4859e-05,0.008784,-0.063389,0.012688,0.026134,5.7501e-07,0.96,0.12,0
0.05,0.0061127,0.029347,-5.0068e-05,0.008789,-3.8053e-06,0,0,0.05345,-0.022982,0,-1.9787e-05,0,0,0,0.029347,-5.0068e-05,0.008789,-0.0074167,0.012695,0.026124,5.7481e-07,1,0.12,0
0,0,0.026258,0.011254,0.011254,0.0051911,0,0,0.039012,-3.2526e-19,0,0.026994,0,0,0,0.027879,0.0096328,0.011254,17.34,0.016255,0.017492,2.6696e-07,0,0.16,0
0.0015605,0.0010797,0.026119,0.0093837,0.010651,0.0048714,0,0,0.040217,-0.0032941,0,0.025331,0,0,0,0.027433,0.008069,0.010651,15.104,0.015384,0.018211,2.893e-07,0.04,0.16,0
0.0032173,0.0020754,0.026558,0.0072698,0.010148,0.0040034,0,0,0.042665,-0.0074839,0,0.020817,0,0,0,0.027356,0.0064719,0.010148,11.272,0.014659,0.01931,3.2507e-07,0.08,0.16,0
0.0049737,0.0029138,0.026918,0.005199,0.0096351,0.0028359,0,0,0.044936,-0.011534,0,0.014747,0,0,0,0.027282,0.0048348,0.0096351,7.3178,0.013917,0.020474,3.6042e-07,0.12,0.16,0
0.0068122,0.0035689,0.027126,0.0034273,0.009166,0.0016932,0,0,0.046696,-0.014921,0,0.0088044,0,0,0,0.027246,0.0033069,0.009166,4.0659,0.01324,0.021614,3.9298e-07,0.16,0.16,0
0.0087094,0.004062,0.0272,0.0020464,0.008774,0.00081107,0,0,0.047908,-0.017492,0,0.0042176,0,0,0,0.027227,0.0020203,0.008774,1.8449,0.012674,0.022599,4.1919e-07,0.2,0.16,0
